INCI name,CAS,EC no,Annex ref
PPG-9 DIGLYCERYL ETHER,61710-63-2,,
PPG-9 ETHYLHEXETH-5,64366-70-7,,
PPG-9 GLYCERYL ETHER,25791-96-2,,
PPG-9 LAURATE,9035-84-1,,
PPG-9-BUTETH-12,9038-95-3 / 9065-63-8,,
PPG-9-STEARETH-3,9038-43-1,,
PPG-90 BUTYL ETHER,9003-13-8,,
PPG/PEG-2/10 GLYCERYL COCOATE,,,
Pramocaine (INN),140-65-8,205-425-7,II/405
PRAMOXINE HCL,637-58-1,211-293-1,II/405
PRASINOCOCCUS CAPSULATUS EXOPOLYSACCHARIDES,,,
PRASIOLA JAPONICA EXTRACT,,,
PRASTERONE,53-43-0,200-175-5,II/37
PRATIA BEGONIFOLIA EXTRACT,,,
prednazoline,6693-90-9,,II/21
prednicarbate,73771-04-7,277-590-3,II/300
prednisolamate,5626-34-6,227-064-4,II/300
Prednisolone,50-24-8,200-021-7,II/300
Prednisolone Sodium Phosphate [USAN:JAN],125-02-0,204-722-9,II/300
Prednisone,53-03-2,200-160-3,II/300
Prednival [USAN],15180-00-4,239-228-2,II/300
prednylidene,599-33-7,209-964-9,II/300
PREGNADIENOL,21321-88-0,,
PREGNENOLONE ACETATE,1778-02-5,217-212-6,II/300 II/390
PREMNA MOLLISSIMA LEAF/ROOT EXTRACT,,,
PREMNA SERRATIFOLIA ROOT EXTRACT,92202-08-9,296-040-3,
prenalterol,57526-81-5,260-791-5,II/21
Prenalterol hydrochloride [USAN],61260-05-7,262-676-5,II/21
PRENOL,556-82-1,209-141-4,
PRENYL ACETATE,1191-16-8,214-730-4,
PRENYL BENZOATE,11/8/5205,225-998-7,
PRIMULA DENTICULATA LEAF EXTRACT,92129-21-0,295-823-7,
PRIMULA SIKKIMENSIS FLOWER EXTRACT,,,
PRIMULA VERIS EXTRACT,84787-68-8,284-109-0,
PRIMULA VERIS FLOWER EXTRACT,84787-68-8,284-109-0 (I),
PRIMULA VERIS SEED OIL,84787-68-8,284-109-0,
PRIMULA VULGARIS EXTRACT,84604-06-8,283-283-5,
PRINSEPIA UTILIS SEED EXTRACT,,,
PRINSEPIA UTILIS SEED OIL,,,
PRISTANE,1921-70-6,217-650-8,
Probenecid (INN),57-66-9,200-344-3,II/161
"Procainamide (INN), its salts and derivatives",51-06-9,200-078-8,II/25
"Procainamide hydrochloride; Benzamide, 4-amino-N-(2-(diethylamino)ethyl)-, hydrochloride (1:1)",614-39-1,210-381-7,II/25
procaine,59-46-1,200-426-9,II/167
Procaine hydrochloride [USAN:JAN],51-05-8,200-077-2,II/167
procaterol,72332-33-3,276-590-0,II/21
Procaterol hydrochloride,62929-91-3,263-763-0,II/21
"Procaterol; 2(1H)-Quinolinone, 8-hydroxy-5-(1-hydroxy-2-((1-methylethyl)amino)butyl)-",60443-17-6,,II/21
PROCOLLAGEN,,,
Profoxydim (ISO); 2-{(EZ)-1-[(2RS)-2-(4-chlorophenoxy)propoxyimino]butyl}-3-hydroxy-5-(thian-3-yl)cyclohex-2-en-1-one,139001-49-3,604-105-8,II/1480
PROGESTERONE,57-83-0,200-350-6,II/194
Progestogens,,,II/194
proheptazine,77-14-5,201-006-8,II/306
PROLINAMIDOETHYL IMIDAZOLE,,,
PROLINE,147-85-3 (L-) / 609-36-9 (dl-alpha),205-702-2 / 210-189-3,
PROLYL HISTAMINE HCL,179308-53-3,416-460-4,
promegestone,34184-77-5,,II/194
PROMICROMONOSPORA FERMENT FILTRATE,,,
PROPAFENONE,54063-53-5,,
PROPAGERMANIUM,12758-40-6 / 126595-07-1,235-800-0 / -,
PROPANE,74-98-6,200-827-9,
PROPANE TRICARBOXYLIC ACID,99-14-9 / 51750-56-2,202-733-3 / -,
PROPANEDIOL,504-63-2 / 26264-14-2,207-997-3,
PROPANEDIOL CAPRYLATE,102731-54-4,,
PROPANEDIOL DICAPRYLATE,1020852-63-4; 56519-71-2,,
PROPANEDIOL DICAPRYLATE/CAPRATE,,,
PROPANEDIOL DIISOSTEARATE,,,
PROPANEDIOL DIPELARGONATE,28267-33-6,,
PROPANEDIOL DIPOLYRICINOLEATE,1448985-06-5,,
PROPANEDIOL DISTEARATE,17367-44-1,,
PROPANEDIOL ROSINATES,,,
PROPANEDIOL STEARATE,,,
PROPANEDIYL 3-HYDROXYCAPRATE,1365537-31-0,,
PROPANOYLRESORCINOL,5792-36-9,227-329-4,
Propargite (ISO),2312-35-8,219-006-1,II/1178
Propargyl alcohol; Acetylene carbinol; Propynyl alcohol; Ethynyl carbinol; 2-Propyn-1-ol,107-19-7,203-471-2,II/16
Propatylnitrate (INN),2921-92-8,220-866-5,II/206
Propazine,139-40-2,205-359-9,II/1018
PROPENYL P-CYMENE,14374-92-6,238-347-7,
properidine,561-76-2,209-222-4,II/306
"Propiconazole (ISO); (2RS,4RS;2RS,4SR)-1-{[2-(2,4- dichlorophenyl)-4-propyl-1,3- dioxolan-2-yl]methyl}-1H- 1,2,4-triazole",60207-90-1,262-104-4,II/1616
Propiolactone,57-57-8,200-340-1,II/669
PROPIONALDEHYDE,123-38-6,204-623-0,
PROPIONIBACTERIUM ACIDIPROPIONICI/SOYBEAN EXTRACT FERMENT FILTRATE,,,
PROPIONIBACTERIUM ACNES/PROPIONIBACTERIUM GRANULOSUM EXTRACT,,,
PROPIONIC ACID,79-09-4,201-176-3,V/2
Propionic acid and its salts,79-09-4 / 17496-08-1 / 4075-81-4 / 557-27-7 / 327-62-8 / 137-40-6,201-176-3 / 241-503-7 / 223-795-8 / 209-166-0 / 206-323-5 / 205-290-4,V/2
PROPIONYL COLLAGEN AMINO ACIDS,,,
propiram,15686-91-6,239-775-7,II/306
"Propiram fumarate; Propanamide, N-(1-methyl-2-(1-piperidinyl)ethyl)-N-2-pyridinyl-, (E)-2-butenedioate (1:1)",13717-04-9,237-270-6,II/306
PROPOLIS CERA,85665-41-4,288-130-6,
PROPOLIS EXTRACT,85665-41-4,288-130-6,
PROPOLIS WAX,"9009-62-5,85665-41-4",",288-130-6 (I)",
Propoxyphene hydrochloride [USAN],1639-60-7,216-683-5,II/306
PROPOXYPROPANEDIOL,98524-54-0,,
PROPOXYTETRAMETHYL PIPERIDINYL DIMETHICONE,171543-65-0,,
PROPYL ACETATE,109-60-4,203-686-1,
PROPYL ALCOHOL,71-23-8,200-746-9,
PROPYL BENZOATE,2315-68-6,219-020-8,V/1a
PROPYL BUTYRATE,105-66-8,203-320-0,
PROPYL C12-15 ALKETH-8 CARBOXYLATE,,,
PROPYL C12-15 PARETH-8 CARBOXYLATE,,,
PROPYL GALLATE,121-79-9,204-498-2,
PROPYL GRAPEVINE SHOOT EXTRACT OLIVATE,,,
PROPYL METHACRYLATE,2210-28-8,218-639-0,
PROPYL OCTANOATE,624-13-5,210-830-7,
PROPYL OLEOYL GRAPE SEED EXTRACT,,,
PROPYL PHENYLACETATE,4606-15-9,225-012-5,
PROPYL PROPIONATE,106-36-5,203-389-7,
PROPYL STEARDIMONIUM CHLORIDE,,,
PROPYL TRIMETHICONE,60111-46-8,,
PROPYL TRIMETHICONE METHACRYLATE CROSSPOLYMER,,,
PROPYL TRISILOXANE,29054-80-6,,
PROPYL VALERATE,141-06-0,205-452-4,
PROPYLAL,505-84-0,208-021-,
PROPYLENE CARBONATE,108-32-7,203-572-1,
PROPYLENE GLYCOL,57-55-6,200-338-0,
PROPYLENE GLYCOL ALGINATE,9005-37-2,,
PROPYLENE GLYCOL BEHENATE,27923-61-1 / 100214-87-7,,
PROPYLENE GLYCOL BUTYL ETHER,5131-66-8,225-878-4,
PROPYLENE GLYCOL CAPRETH-4,,,
PROPYLENE GLYCOL CAPRYLATE,31565-12-5 / 68332-79-6,,
PROPYLENE GLYCOL CETETH-3 ACETATE,93385-03-6,,
PROPYLENE GLYCOL CETETH-3 PROPIONATE,,,
PROPYLENE GLYCOL CITRATE,85252-24-0,286-541-5,
PROPYLENE GLYCOL COCOATE,67784-83-2,267-056-8,
PROPYLENE GLYCOL DIBENZOATE,19224-26-1,242-894-7,
PROPYLENE GLYCOL DICAPRATE,56519-72-3 / 53824-77-4,258-814-9,
PROPYLENE GLYCOL DICAPROATE,50343-36-7,,
PROPYLENE GLYCOL DICAPRYLATE,7384-98-7,230-962-9,
PROPYLENE GLYCOL DICAPRYLATE/DICAPRATE,68583-51-7 / 58748-27-9 / 68988-72-7,271-516-3,
PROPYLENE GLYCOL DICOCOATE,68953-19-5,273-191-3,
PROPYLENE GLYCOL DIETHYLHEXANOATE,93981-97-6,301-185-3,
PROPYLENE GLYCOL DIHEPTANOATE,56519-68-7,,
PROPYLENE GLYCOL DIISONONANOATE,125804-17-3,,
PROPYLENE GLYCOL DIISOSTEARATE,68958-54-3,273-373-2,
PROPYLENE GLYCOL DILAURATE,22788-19-8,245-217-3,
PROPYLENE GLYCOL DIOLEATE,105-62-4,203-315-3,
PROPYLENE GLYCOL DIPELARGONATE,41395-83-9,255-350-9,
PROPYLENE GLYCOL DIRICINOLEATE/IPDI COPOLYMER,351425-00-8,,
PROPYLENE GLYCOL DISTEARATE,11/2/6182,228-229-3,
PROPYLENE GLYCOL DIUNDECANOATE,68227-47-4,269-359-0,
PROPYLENE GLYCOL HEPTANOATE,,,
PROPYLENE GLYCOL HYALURONATE,,,
PROPYLENE GLYCOL HYDROXYSTEARATE,33907-47-0 / 38621-51-1,251-734-5 / 254-045-8,
PROPYLENE GLYCOL ISOCETETH-3 ACETATE,93385-13-8 / 178900-23-7,,
PROPYLENE GLYCOL ISODECETH-12,,,
PROPYLENE GLYCOL ISODECETH-4,,,
PROPYLENE GLYCOL ISOSTEARATE,68171-38-0 / 63799-53-1,269-027-5,
PROPYLENE GLYCOL LAURATE,27194-74-7 / 142-55-2 / 37321-62-3 / 199282-83-2,248-315-4 / 205-542-3,
PROPYLENE GLYCOL LAURETH-6,37311-00-5,,
PROPYLENE GLYCOL LINOLEATE,,,
PROPYLENE GLYCOL LINOLENATE,,,
PROPYLENE GLYCOL MYRISTATE,29059-24-3,249-395-3,
PROPYLENE GLYCOL MYRISTYL ETHER,63793-60-2,,
PROPYLENE GLYCOL MYRISTYL ETHER ACETATE,135326-54-4,,
PROPYLENE GLYCOL OLEATE,1330-80-9,215-549-3,
PROPYLENE GLYCOL OLEATE SE,,,
PROPYLENE GLYCOL OLETH-5,,,
PROPYLENE GLYCOL PROPYL ETHER,1569-01-3 / 30136-13-1,216-372-4 / 250-069-8,
PROPYLENE GLYCOL RICINOLEATE,26402-31-3,247-669-7,
PROPYLENE GLYCOL SOYATE,67784-79-6,267-054-7,
PROPYLENE GLYCOL STEARATE,1323-39-3 / 142-75-6,215-354-3 / 205-557-5,
PROPYLENE GLYCOL STEARATE SE,,,
PROPYLENE GLYCOL T-BUTYL ETHER,57018-52-7,,
PROPYLENE GLYCOL/SEBACIC ACID/TRIMELLITIC ANHYDRIDE COPOLYMER,,,
PROPYLENEDIAMINE,78-90-0,,
PROPYLENEDIAMMONIUM DIMALEATE,2241742-79-8,,
"Propylenethiourea; 2-Imidazolidinethione, 4-methyl-",2122-19-2,,II/321
PROPYLHEPTYL CAPRYLATE,868839-23-0,,
PROPYLIDENE PHTHALIDE,17369-59-4,241-402-8,III/175
Propylidenephthalide; 3-Propylidenephthalide,17369-59-4,241-402-8,III/175
PROPYLPARABEN,94-13-3,202-307-7,V/12
PROPYLTRIMONIUM HYDROLYZED COLLAGEN,,,
PROPYLTRIMONIUM HYDROLYZED SOY PROTEIN,,,
PROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN,,,
PROPYLTRIMONIUMCHLORIDE ACRYLAMIDE/DIMETHYLACRYLAMIDE COPOLYMER,,,
Propyphenazone (INN),479-92-5,207-539-2,II/138
Propyzamide,23950-58-5,245-951-4,II/1049
Proquinazid (ISO); 6-iodo-2-propoxy-3-propylquinazolin-4(3H)-one,189278-12-4,606-168-7,II/1563
PROROCENTRUM MICANS CELL EXTRACT,,,
PROROCENTRUM MINIMUM CELL EXTRACT,,,
PROSOPIS JULIFLORA LEAF,,,
PROSOPIS VELUTINA SEED,,,
PROSOPIS VELUTINA SEED EXTRACT,,,
PROSTANTHERA INCISA LEAF EXTRACT,,,
PROSTANTHERA ROTUNDIFOLIA LEAF EXTRACT,,,
PROTAMINE SULFATE,9009-65-8,,
PROTEA CYNAROIDES FLOWER EXTRACT,,,
PROTEA REPENS FLOWER NECTAR,,,
PROTEASE,9001-92-7,232-642-4,
PROTEASE DEXTRAN,,,
PROTEINS THAUMATINS,53850-34-3,258-822-2,
PROTIUM HEPTAPHYLLUM RESIN,92704-59-1,296-493-7,
PROTIUM HEPTAPHYLLUM RESIN EXTRACT,,,
PROTIUM HEPTAPHYLLUM RESIN OIL,2407930-05-4 (generic),,
PROTIUM PALLIDUM EXTRACT,475291-19-1,,
PROTOCATECHUICALDEHYDE,139-85-5,205-377-7,
PROTODIOSCIN,55056-80-9,,
protokylol,136-70-9,205-255-3,II/21
Protokylol hydrochloride,136-69-6,205-254-8,II/21
"Proxan potassium; Carbonic acid, dithio-, O-isopropyl ester, potassium salt; Isopropyl potassium xanthate",140-92-1,205-441-4,II/336
"Proxan-sodium [ISO]; Carbonodithioic acid, O-(1-methylethyl)ester, sodium salt",140-93-2,205-443-5,II/336
PRUNASIN,99-18-3,202-738-0,
PRUNELLA VULGARIS,90105-92-3,290-211-6,
PRUNELLA VULGARIS EXTRACT,90105-92-3,290-211-6,
PRUNELLA VULGARIS FLOWER EXTRACT,90105-92-3,290-211-6,
PRUNELLA VULGARIS FLOWER/LEAF/STEM EXTRACT,90105-92-3,290-211-6,
PRUNELLA VULGARIS LEAF EXTRACT,90105-92-3,290-211-6,
PRUNIN,529-55-5,208-464-8,
PRUNUS AFRICANA BARK EXTRACT,94279-95-5,304-841-7,
PRUNUS AMYGDALUS AMARA KERNEL COLD PRESSED OIL,90320-35-7,291-060-9,
PRUNUS AMYGDALUS AMARA KERNEL OIL,8013-76-1 / 8015-75-6 / 90320-35-7, / - / 291-060-9,
PRUNUS AMYGDALUS AMARA SEED EXTRACT,90320-35-7,291-060-9,
PRUNUS AMYGDALUS DULCIS BARK EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS BARK POWDER,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS BUD EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS FLOWER EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS FRUIT EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS FRUIT WATER,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS LEAF CELL EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS OIL,8007-69-0 / 90320-37-9, / 291-063-5,
PRUNUS AMYGDALUS DULCIS OIL UNSAPONIFIABLES,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS OLEOSOMES,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS PROTEIN,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS SEED,,,
PRUNUS AMYGDALUS DULCIS SEED EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS SEED MEAL,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS SEED POWDER,90320-37-9 (generic),291-063-5,
PRUNUS AMYGDALUS DULCIS SEEDCAKE EXTRACT,,,
PRUNUS AMYGDALUS DULCIS SEEDCOAT EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS SEEDCOAT POWDER,90320-37-9,291-063-5,
PRUNUS AMYGDALUS DULCIS SHELL EXTRACT,,,
PRUNUS AMYGDALUS DULCIS SHELL EXTRACT,,,
PRUNUS AMYGDALUS DULCIS SHELL POWDER,90320-37-9,291-063-5,
PRUNUS AMYGDALUS SATIVA KERNEL EXTRACT,90320-37-9,291-063-5,
PRUNUS AMYGDALUS SATIVA KERNEL OIL,90320-37-9,291-063-5,
PRUNUS ARMENIACA BUD EXTRACT,68650-44-2,272-046-1,
PRUNUS ARMENIACA FLOWER EXTRACT,,,
PRUNUS ARMENIACA FRUIT,68650-44-2,272-046-1,
PRUNUS ARMENIACA FRUIT EXTRACT,68650-44-2,272-046-1,
PRUNUS ARMENIACA FRUIT WATER,68650-44-2,272-046-1,
PRUNUS ARMENIACA JUICE,68650-44-2,272-046-1,
PRUNUS ARMENIACA KERNEL EXTRACT,68650-44-2,272-046-1,
PRUNUS ARMENIACA KERNEL OIL,68650-44-2 / 72869-69-3,272-046-1 / -,
PRUNUS ARMENIACA KERNEL OIL UNSAPONIFIABLES,68650-44-2,272-046-1,
PRUNUS ARMENIACA KERNEL WAX,,,
PRUNUS ARMENIACA LEAF CELL EXTRACT,68650-44-2,272-046-1,
PRUNUS ARMENIACA LEAF EXTRACT,68650-44-2,272-046-1,
PRUNUS ARMENIACA SEED POWDER,68650-44-2,272-046-1,
PRUNUS ARMENIACA SHELL POWDER,,,
PRUNUS AVIUM FLOWER EXTRACT,85566-22-9,287-632-2,
PRUNUS AVIUM FLOWER WATER,85566-22-9,287-632-2,
PRUNUS AVIUM FRUIT,,,
PRUNUS AVIUM FRUIT EXTRACT,85566-22-9,287-632-2,
PRUNUS AVIUM FRUIT JUICE,85566-22-9,287-632-2,
PRUNUS AVIUM FRUIT WATER,85566-22-9,287-632-2,
PRUNUS AVIUM SEED EXTRACT,85566-22-9,287-632-2,
PRUNUS AVIUM SEED OIL,85566-22-9,287-632-2,
PRUNUS AVIUM SEED POWDER,85566-22-9,287-632-2,
PRUNUS AVIUM SHELL POWDER,85566-22-9,287-632-2,
PRUNUS AVIUM WOOD EXTRACT,85566-22-9,287-632-2,
PRUNUS CAMPANULATA/YEDOENSIS FLOWER EXTRACT,,,
PRUNUS CAMPANULATA/YEDOENSIS LEAF EXTRACT,,,
PRUNUS CERASIFERA FLOWER EXTRACT,,,
PRUNUS CERASUS BUD EXTRACT,89997-53-5,289-688-3,
PRUNUS CERASUS EXTRACT,89997-53-5,289-688-3,
PRUNUS CERASUS FLOWER EXTRACT,89997-53-5,289-688-3,
PRUNUS CERASUS FRUIT,89997-53-5,289-688-3,
PRUNUS CERASUS FRUIT EXTRACT,89997-53-5,289-688-3,
PRUNUS CERASUS FRUIT WATER,,,
PRUNUS CERASUS JUICE,89997-53-5,289-688-3,
PRUNUS CERASUS LEAF CELL EXTRACT,89997-53-5,289-688-3,
PRUNUS CERASUS LEAF EXTRACT,89997-53-5,289-688-3,
PRUNUS CERASUS SEED OIL,89997-53-5,289-688-3,
PRUNUS CERASUS SHELL POWDER,89997-53-5,289-688-3,
PRUNUS CERASUS STALK EXTRACT,89997-53-5,289-688-3,
PRUNUS DAVIDIANA EXTRACT,,,
PRUNUS DAVIDIANA FLOWER EXTRACT,,,
PRUNUS DOMESTICA FLOWER EXTRACT,90082-87-4,290-179-3,
PRUNUS DOMESTICA FRUIT EXTRACT,90082-87-4,290-179-3,
PRUNUS DOMESTICA FRUIT JUICE,90082-87-4,290-179-3,
PRUNUS DOMESTICA LEAF EXTRACT,,,
PRUNUS DOMESTICA SEED EXTRACT,90082-87-4,290-179-3,
PRUNUS DOMESTICA SEED OIL,90082-87-4,290-179-3,
PRUNUS DOMESTICA SEED POWDER,,,
PRUNUS DOMESTICA SEEDCAKE EXTRACT,90082-87-4,290-179-3,
PRUNUS DOMESTICA WOOD ASH,90082-87-4,290-179-3,
PRUNUS DOMESTICA/HYDROGENATED PRUNUS DOMESTICA SEED OIL ESTERS,,,
PRUNUS HUMILIS FRUIT EXTRACT,,,
PRUNUS INSITITIA JUICE,,,
PRUNUS INSITITIA SEED OIL,,,
PRUNUS JAPONICA SEED EXTRACT,,,
PRUNUS LANNESIANA FLOWER,,,
PRUNUS LANNESIANA FLOWER EXTRACT,,,
PRUNUS LANNESIANA FLOWER POWDER,,,
"Prunus laurocerasus L. (""cherry laurel water"")",89997-54-6,289-689-9,II/291
PRUNUS MUME BRANCH EXTRACT,,,
PRUNUS MUME BRANCH/BUD/LEAF/TWIG WATER,,,
PRUNUS MUME BUD EXTRACT,,,
PRUNUS MUME EXTRACT,,,
PRUNUS MUME FLOWER,,,
PRUNUS MUME FLOWER EXTRACT,,,
PRUNUS MUME FLOWER POWDER,,,
PRUNUS MUME FLOWER WATER,,,
PRUNUS MUME FRUIT,,,
PRUNUS MUME FRUIT EXTRACT,,,
PRUNUS MUME FRUIT JUICE,,,
PRUNUS MUME FRUIT VINEGAR,,,
PRUNUS MUME FRUIT WATER,,,
PRUNUS MUME FRUIT/(ANGELICA DAHURICA/ANGELICA TENUISSIMA/BLETILLA STRIATA/LEVISTICUM OFFICINALE/NARDOSTACHYS CHINENSIS ROOT)/VIGNA RADIATA SEED EXTRACT,,,
PRUNUS MUME FRUIT/CINNAMOMUM CAMPHORA LEAF/(ACTAEA HERACLEIFOLIA/ANGELICA DAHURICA/ASTRAGALUS MEMBRANACEUS/ATRACTYLODES LANCEA/CNIDIUM OFFICINALE/CURCUMA LONGA/GLYCYRRHIZA GLABRA/PAEONIA ALBIFLORA/PANAX GINSENG/SAPOSHNIKOVIA DIVARICATA) ROOT EXTRACT,,,
PRUNUS MUME FRUIT/CINNAMOMUM CAMPHORA LEAF/ROOT EXTRACT,,,
PRUNUS MUME LEAF EXTRACT,,,
PRUNUS MUME PHYTOPLACENTA EXTRACT,,,
PRUNUS MUME ROOT EXTRACT,,,
PRUNUS MUME SEED EXTRACT,,,
PRUNUS MUME SEED POWDER,,,
PRUNUS PADUS EXTRACT,,,
PRUNUS PEDUNCULATA SEED OIL,,,
PRUNUS PERSICA BUD EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA CALLUS CULTURE EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA CALLUS EXTRACT,,,
PRUNUS PERSICA EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA FLOWER EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA FLOWER POWDER,84012-34-0,281-678-7,
PRUNUS PERSICA FRUIT,84012-34-0,281-678-7,
PRUNUS PERSICA FRUIT EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA FRUIT WATER,84012-34-0,281-678-7,
PRUNUS PERSICA GUM,84012-34-0,281-678-7,
PRUNUS PERSICA JUICE,84012-34-0,281-678-7,
PRUNUS PERSICA KERNEL EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA KERNEL OIL,8002-78-6 / 8023-98-1 / 84012-34-0, / - / 281-678-7,
PRUNUS PERSICA KERNEL/ARTEMISIA PRINCEPS LEAF/(COIX LACRYMA-JOBI MA-YUEN/AMOMUM XANTHIOIDES) SEED EXTRACT,,,
PRUNUS PERSICA LEAF EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA NECTARINA FRUIT EXTRACT,84012-34-0,281-678-7,
PRUNUS PERSICA RESIN EXTRACT,84012-34-0 (generic),281-678-7,
PRUNUS PERSICA SEED POWDER,84012-34-0,281-678-7,
PRUNUS PERSICA WOOD EXTRACT,84012-34-0,281-678-7,
PRUNUS SALICINA FRUIT EXTRACT,,,
PRUNUS SALICINA FRUIT JUICE,,,
PRUNUS SARGENTII FRUIT EXTRACT,,,
PRUNUS SEROTINA BARK,84604-07-9,283-284-0,
PRUNUS SEROTINA BARK EXTRACT,84604-07-9 / 8000-44-0,283-284-0,
PRUNUS SEROTINA FRUIT EXTRACT,84604-07-9,283-284-0,
PRUNUS SEROTINA JUICE,84604-07-9,283-284-0,
PRUNUS SERRULATA BARK EXTRACT,,,
PRUNUS SERRULATA BRANCH/LEAF EXTRACT,,,
PRUNUS SERRULATA FLOWER EXTRACT,,,
PRUNUS SERRULATA FLOWER WATER,,,
PRUNUS SERRULATA LEAF CELL EXTRACT,,,
PRUNUS SERRULATA PHYTOPLACENTA CULTURE EXTRACT,,,
PRUNUS SPECIOSA BARK EXTRACT,,,
PRUNUS SPECIOSA FLOWER EXTRACT,,,
PRUNUS SPECIOSA LEAF EXTRACT,,,
PRUNUS SPECIOSA LEAF WATER,,,
PRUNUS SPINOSA FLOWER EXTRACT,90105-94-5,290-213-7,
PRUNUS SPINOSA FLOWER WATER,90105-94-5,290-213-7,
PRUNUS SPINOSA FRUIT EXTRACT,90105-94-5,290-213-7,
PRUNUS SPINOSA FRUIT JUICE,90105-94-5,290-213-7,
PRUNUS SPINOSA WOOD EXTRACT,90105-94-5,290-213-7,
PRUNUS SUBHIRTELLA ASCENDENS LEAF EXTRACT,,,
PRUNUS TOMENTOSA FRUIT EXTRACT,,,
PRUNUS TRILOBA FRUIT WATER,,,
PRUNUS VIRGINIANA BARK EXTRACT,90105-95-6,290-214-2,
PRUNUS YEDOENSIS BARK EXTRACT,,,
PRUNUS YEDOENSIS BRANCH/LEAF EXTRACT,,,
PRUNUS YEDOENSIS FLOWER EXTRACT,,,
PRUNUS YEDOENSIS FLOWER/TWIG WATER,,,
PRUNUS YEDOENSIS LEAF EXTRACT,,,
PRUNUS YEDOENSIS LEAF WATER,,,
PRUNUS YEDOENSIS SPROUT CELL EXTRACT,,,
PRUNUS ZIPPELIANA BARK/TWIG EXTRACT,,,
PSALLIOTA CAMPESTRIS EXTRACT,84929-56-6,284-539-9,
PSEUDANABAENA GALEATA EXTRACT,,,
PSEUDANABAENACEAE FERMENT FILTRATE,,,
PSEUDOALTEROMONAS EXOPOLYSACCHARIDES,,,
PSEUDOALTEROMONAS FERMENT EXTRACT,,,
PSEUDOALTEROMONAS FERMENT EXTRACT FILTRATE,,,
PSEUDOALTEROMONAS FERMENT LYSATE EXTRACT FILTRATE,,,
PSEUDOCHLORODESMIS AUSTRALIS CALLUS CULTURE EXTRACT,,,
PSEUDOCHORICYSTIS ELLIPSOIDEA EXTRACT,,,
pseudoephedrine,90-82-4,202-018-6,II/21
PSEUDOMONAS AEROGINOSA CULTURE CONDITIONED MEDIA EXTRACT,,,
PSEUDOMONAS AERUGINOSA CULTURE CONDITIONED MEDIA EXTRACT,,,
PSEUDOMONAS AERUGINOSA/CARAPA GUIANENSIS SEEDCAKE FERMENT FILTRATE,,,
PSEUDOMONAS GUGUANENSIS EXTRACT,,,
PSEUDOTSUGA MENZIESII BRANCH WATER,97926-19-7,308-234-8,
PSEUDOTSUGA MENZIESII BRANCH/LEAF OIL,97926-19-7,308-234-8,
PSEUDOTSUGA MENZIESII RESIN,97926-19-7 / 8050-89-3,308-234-8 / -,
PSEUDOTSUGA MENZIESII WOOD EXTRACT,,,
PSEUDOWINTERA COLORATA FLOWER/LEAF EXTRACT,,,
PSEUDOWINTERA COLORATA LEAF EXTRACT,,,
PSEUDOZYMA ANTARCTICA FERMENT EXTRACT,,,
PSEUDOZYMA EPICOLA/ARGANIA SPINOSA KERNEL OIL FERMENT FILTRATE,,,
PSEUDOZYMA EPICOLA/ARGANIA SPINOSA KERNEL OIL/CAMELLIA JAPONICA SEED OIL/CAMELLIA SINENSIS SEED OIL/SUNFLOWER SEED OIL/SWEET ALMOND OIL FERMENT EXTRACT,,,
PSEUDOZYMA EPICOLA/ARGANIA SPINOSA KERNEL OIL/OLIVE FRUIT OIL/SUNFLOWER SEED OIL/(ANGELICA GIGAS/LICORICE/LITHOSPERMUM ERYTHRORHIZON) ROOT FERMENT EXTRACT FILTRATE,,,
PSEUDOZYMA EPICOLA/AVOCADO OIL FERMENT EXTRACT,,,
PSEUDOZYMA EPICOLA/CAMELLIA JAPONICA SEED OIL FERMENT EXTRACT FILTRATE,,,
PSEUDOZYMA EPICOLA/CAMELLIA SINENSIS SEED OIL FERMENT EXTRACT FILTRATE,,,
